Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
mistral-nemo:12b,data_hanoi,accuracy,3.09,1.19,3.0,1,5,10600,"1: 1741, 3: 6216, 4: 811, 5: 1832"
mistral-nemo:12b,data_hanoi,relevance,4.67,0.74,5.0,3,5,10600,"3: 1741, 5: 8859"
mistral-nemo:12b,data_hanoi,coherence,3.92,0.95,4.0,2,5,10600,"2: 1741, 4: 6216, 5: 2643"
mistral-nemo:12b,data_hanoi,completeness,3.7,1.26,4.0,1,5,10600,"1: 1741, 4: 6827, 5: 2032"
mistral-nemo:12b,data_hanoi,fluency,4.03,0.6,4.0,3,5,10600,"3: 1741, 4: 6827, 5: 2032"
mistral-nemo:12b,data_lyon_EDGT,accuracy,2.34,1.48,1.0,1,4,45800,"1: 24707, 2: 926, 3: 13, 4: 20154"
mistral-nemo:12b,data_lyon_EDGT,relevance,3.36,1.48,2.0,2,5,45800,"2: 24707, 4: 926, 5: 20167"
mistral-nemo:12b,data_lyon_EDGT,coherence,3.36,1.48,2.0,2,5,45800,"2: 24707, 4: 926, 5: 20167"
mistral-nemo:12b,data_lyon_EDGT,completeness,2.82,1.98,1.0,1,5,45800,"1: 24707, 4: 939, 5: 20154"
mistral-nemo:12b,data_lyon_EDGT,fluency,2.9,0.98,2.0,2,4,45800,"2: 24707, 3: 939, 4: 20154"
mistral-nemo:12b,data_MyDailyTravelData,accuracy,2.67,0.74,3.0,1,3,36200,"1: 5806, 2: 379, 3: 30015"
mistral-nemo:12b,data_MyDailyTravelData,relevance,2.67,0.74,3.0,1,3,36200,"1: 5806, 2: 379, 3: 30015"
mistral-nemo:12b,data_MyDailyTravelData,coherence,4.61,0.92,5.0,1,5,36200,"1: 1050, 3: 4756, 4: 379, 5: 30015"
mistral-nemo:12b,data_MyDailyTravelData,completeness,1.83,0.38,2.0,1,2,36200,"1: 6185, 2: 30015"
mistral-nemo:12b,data_MyDailyTravelData,fluency,2.8,0.47,3.0,1,3,36200,"1: 1050, 2: 5135, 3: 30015"
mistral-nemo:12b,data_NYC_mobility,accuracy,1.97,0.23,2.0,1,3,35200,"1: 1533, 2: 33328, 3: 339"
mistral-nemo:12b,data_NYC_mobility,relevance,4.91,0.41,5.0,3,5,35200,"3: 1533, 5: 33667"
mistral-nemo:12b,data_NYC_mobility,coherence,3.92,0.42,4.0,2,5,35200,"2: 1533, 4: 33328, 5: 339"
mistral-nemo:12b,data_NYC_mobility,completeness,2.92,0.42,3.0,1,4,35200,"1: 1533, 3: 33467, 4: 200"
mistral-nemo:12b,data_NYC_mobility,fluency,3.96,0.2,4.0,3,4,35200,"3: 1533, 4: 33667"
mistral-nemo:12b,data_pmus_yaounde,accuracy,4.12,0.33,4.0,2,5,6800,"2: 3, 4: 5997, 5: 800"
mistral-nemo:12b,data_pmus_yaounde,relevance,3.18,0.51,3.0,1,5,6800,"1: 3, 3: 5997, 4: 400, 5: 400"
mistral-nemo:12b,data_pmus_yaounde,coherence,3.18,0.51,3.0,1,5,6800,"1: 3, 3: 5997, 4: 400, 5: 400"
mistral-nemo:12b,data_pmus_yaounde,completeness,4.06,0.24,4.0,1,5,6800,"1: 3, 4: 6397, 5: 400"
mistral-nemo:12b,data_pmus_yaounde,fluency,3.06,0.24,3.0,2,4,6800,"2: 3, 3: 6397, 4: 400"
mistral-nemo:12b,data_VTC_survey,accuracy,2.84,0.83,3.0,1,5,27200,"1: 3800, 3: 20833, 4: 2021, 5: 546"
mistral-nemo:12b,data_VTC_survey,relevance,3.81,0.79,4.0,2,5,27200,"2: 3800, 4: 20833, 5: 2567"
mistral-nemo:12b,data_VTC_survey,coherence,3.81,0.79,4.0,2,5,27200,"2: 3800, 4: 20833, 5: 2567"
mistral-nemo:12b,data_VTC_survey,completeness,2.74,0.72,3.0,1,4,27200,"1: 3800, 3: 22854, 4: 546"
mistral-nemo:12b,data_VTC_survey,fluency,2.88,0.38,3.0,2,4,27200,"2: 3800, 3: 22854, 4: 546"
