Model,Dataset,Dimension,Mean,Std,Median,Min,Max,N,Distribution
mistral:7b,data_hanoi,accuracy,2.9,1.28,3.0,1,5,10600,"1: 2532, 3: 5739, 4: 686, 5: 1643"
mistral:7b,data_hanoi,relevance,4.52,0.85,5.0,3,5,10600,"3: 2532, 5: 8068"
mistral:7b,data_hanoi,coherence,4.52,0.85,5.0,3,5,10600,"3: 2532, 5: 8068"
mistral:7b,data_hanoi,completeness,2.7,1.02,3.0,1,4,10600,"1: 2532, 3: 6225, 4: 1843"
mistral:7b,data_hanoi,fluency,3.94,0.64,4.0,3,5,10600,"3: 2532, 4: 6225, 5: 1843"
mistral:7b,data_lyon_EDGT,accuracy,2.65,1.93,1.0,1,5,45800,"1: 26286, 3: 361, 4: 1620, 5: 17533"
mistral:7b,data_lyon_EDGT,relevance,3.27,1.48,2.0,2,5,45800,"2: 26286, 4: 361, 5: 19153"
mistral:7b,data_lyon_EDGT,coherence,3.27,1.48,2.0,2,5,45800,"2: 26286, 4: 361, 5: 19153"
mistral:7b,data_lyon_EDGT,completeness,2.7,1.97,1.0,1,5,45800,"1: 26286, 4: 381, 5: 19133"
mistral:7b,data_lyon_EDGT,fluency,2.84,0.98,2.0,2,4,45800,"2: 26286, 3: 381, 4: 19133"
mistral:7b,data_MyDailyTravelData,accuracy,2.67,0.73,3.0,1,3,36200,"1: 5695, 2: 460, 3: 30045"
mistral:7b,data_MyDailyTravelData,relevance,3.57,0.99,4.0,1,4,36200,"1: 3837, 2: 1858, 3: 456, 4: 30049"
mistral:7b,data_MyDailyTravelData,coherence,4.46,1.27,5.0,1,5,36200,"1: 3837, 3: 1858, 4: 456, 5: 30049"
mistral:7b,data_MyDailyTravelData,completeness,1.83,0.38,2.0,1,2,36200,"1: 6151, 2: 30049"
mistral:7b,data_MyDailyTravelData,fluency,2.72,0.64,3.0,1,3,36200,"1: 3837, 2: 2314, 3: 30049"
mistral:7b,data_NYC_mobility,accuracy,1.91,0.33,2.0,1,3,35200,"1: 3632, 2: 31026, 3: 542"
mistral:7b,data_NYC_mobility,relevance,4.79,0.61,5.0,3,5,35200,"3: 3632, 5: 31568"
mistral:7b,data_NYC_mobility,coherence,4.79,0.61,5.0,3,5,35200,"3: 3632, 5: 31568"
mistral:7b,data_NYC_mobility,completeness,2.8,0.62,3.0,1,4,35200,"1: 3632, 3: 31173, 4: 395"
mistral:7b,data_NYC_mobility,fluency,3.9,0.32,4.0,3,5,35200,"3: 3632, 4: 31368, 5: 200"
mistral:7b,data_pmus_yaounde,accuracy,3.97,0.59,4.0,2,5,6800,"2: 427, 4: 5743, 5: 630"
mistral:7b,data_pmus_yaounde,relevance,3.0,0.67,3.0,1,5,6800,"1: 427, 3: 5743, 4: 400, 5: 230"
mistral:7b,data_pmus_yaounde,coherence,3.97,0.59,4.0,2,5,6800,"2: 427, 4: 5743, 5: 630"
mistral:7b,data_pmus_yaounde,completeness,3.85,0.76,4.0,1,5,6800,"1: 427, 4: 6143, 5: 230"
mistral:7b,data_pmus_yaounde,fluency,3.97,0.31,4.0,3,5,6800,"3: 427, 4: 6143, 5: 230"
mistral:7b,data_VTC_survey,accuracy,2.81,1.0,3.0,1,5,27200,"1: 5402, 3: 16634, 4: 4697, 5: 467"
mistral:7b,data_VTC_survey,relevance,4.6,0.8,5.0,3,5,27200,"3: 5402, 5: 21798"
mistral:7b,data_VTC_survey,coherence,2.97,1.23,3.0,1,5,27200,"1: 5402, 3: 16634, 4: 339, 5: 4825"
mistral:7b,data_VTC_survey,completeness,2.78,0.96,3.0,1,4,27200,"1: 5402, 3: 16973, 4: 4825"
mistral:7b,data_VTC_survey,fluency,2.98,0.61,3.0,2,4,27200,"2: 5402, 3: 16973, 4: 4825"
