TP1,ZFT,ECH,PER,NDEP,T1,T2,T3,T4,T5,T6,T7,T8,T8A,T8B,T9,T10,T11,T8C,TOIS,TDIS,TDIP,DP1,ZFD,D2A,D2B,D3,D4,D5A,D5B,D6,D7,D8,D9,D10,MODP,MOIP,DOIB,DIST,DISP,PP1,ZFP,JOUR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P14,P15,DP15,P16,P17,P18,P18A,P19,P20,P21,P22,P23,P24,P25,P26,COEP,P12A,P24A,P24B,MP1,ZFM,DATE,M1,M2,M3,M4,M5,M6,M7A,M8A,M9A,M10A,M11A,M12A,M13A,M7B,M8B,M9B,M10B,M11B,M12B,M13B,M7C,M8C,M9C,M10C,M11C,M12C,M13C,M7D,M8D,M9D,M10D,M11D,M12D,M13D,M14,M15A,M16A,M17A,M18A,M19A,M20A,M15B,M16B,M17B,M18B,M19B,M20B,M15C,M16C,M17C,M18C,M19C,M20C,M15D,M16D,M17D,M18D,M19D,M20D,M21,M22,M23,COEM,M24-1,M24-2,M12BIS,OP1,ZFO,O1A,O1B,O1C,O1D,O1E,O1F,O1G,O2,O3A,O3B,O3C,O3D,O3E,O3F,O3G,O3H,O3I,O4,O5A,O5B,O5C,O5D,O5E,O5F,O5G,O6A,O6B,O6C,O7A,O7B,O7C,O8A,O8B,O8C,COO2,O5H,O5I,O9,O10-1,O10-2,O11,O12-1,O12-2,O13,O14-1,O14-2,O14-3,O15,O16,O17-1,O17-2,O17-3,O18-1,O18-2,O18-3,O19-1,O19-2,O19-3,O20,O21,O22-1,O22-2,O23,O24-1,O24-2,O24-3,O25-1,O25-2,O26,O2B,O27-1,O27-2,O27-3,O28-1,O28-2,O29-1,O29-2,O30,O31,O32A,O33,O34,O35-1,O35-2
4,104751,35,1,2,1,2,31,132251,104251,5,,,,,,,,,2400,3600,3600,3,104751,52,,132002,1457,82,,4.0,104001,1525,28,1,31,31,2400,3600,3600,2,104751,3,1,1,1,45,2.0,1.0,1.0,6.0,1.0,0.0,46.0,2.0,2.0,227009.0,2605,4.0,,1.0,2.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,6.0,55.54071,1.0,5.0,,1,104751,6112014,1,3,1,4.0,1,3,1.0,1.0,1988.0,9.0,1.0,1.0,4.0,1.0,1.0,1988.0,12.0,1.0,1.0,4.0,1.0,1.0,1992.0,9.0,1.0,1.0,4.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,61.04941,4.0,7.0,,5.0,104751.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,22.0,36.0,30.0,10.0,2.0,3.0,10.0,4.0,16.0,63.25062,2.0,1.0,5.0,,,,,,2.0,12.0,,,5.0,69382.0,,,,,,,1.0,,,3.0,2.0,3.0,,1.0,2.0,,,5.0,,1.0,2.0,13.0,,,3.0,4.0,2.0,12.0,2.0,31.0,2.0,2.0,,6.0,7.0
4,104751,35,1,4,1,5,31,116551,104251,6,,,,,,,,,1690,2535,2535,3,104751,32,,116551,1710,1,,,104751,1730,20,1,31,31,1690,2535,2535,2,104751,3,1,1,1,45,2.0,1.0,1.0,6.0,1.0,0.0,46.0,2.0,2.0,227009.0,2605,4.0,,1.0,2.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,6.0,55.54071,1.0,5.0,,1,104751,6112014,1,3,1,4.0,1,3,1.0,1.0,1988.0,9.0,1.0,1.0,4.0,1.0,1.0,1988.0,12.0,1.0,1.0,4.0,1.0,1.0,1992.0,9.0,1.0,1.0,4.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,61.04941,4.0,7.0,,5.0,104751.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,22.0,36.0,30.0,10.0,2.0,3.0,10.0,4.0,16.0,63.25062,2.0,1.0,5.0,,,,,,2.0,12.0,,,5.0,69382.0,,,,,,,1.0,,,3.0,2.0,3.0,,1.0,2.0,,,5.0,,1.0,2.0,13.0,,,3.0,4.0,2.0,12.0,2.0,31.0,2.0,2.0,,6.0,7.0
4,104751,35,1,3,1,3,31,104251,116551,5,,,,,,,,,1690,2535,2535,3,104751,82,,104001,1525,32,,,116551,1605,40,1,31,31,1690,2535,2535,2,104751,3,1,1,1,45,2.0,1.0,1.0,6.0,1.0,0.0,46.0,2.0,2.0,227009.0,2605,4.0,,1.0,2.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,6.0,55.54071,1.0,5.0,,1,104751,6112014,1,3,1,4.0,1,3,1.0,1.0,1988.0,9.0,1.0,1.0,4.0,1.0,1.0,1988.0,12.0,1.0,1.0,4.0,1.0,1.0,1992.0,9.0,1.0,1.0,4.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,61.04941,4.0,7.0,,5.0,104751.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,22.0,36.0,30.0,10.0,2.0,3.0,10.0,4.0,16.0,63.25062,2.0,1.0,5.0,,,,,,2.0,12.0,,,5.0,69382.0,,,,,,,1.0,,,3.0,2.0,3.0,,1.0,2.0,,,5.0,,1.0,2.0,13.0,,,3.0,4.0,2.0,12.0,2.0,31.0,2.0,2.0,,6.0,7.0
4,104751,35,1,1,1,5,31,104251,132251,2,,,,,,,,,2400,3600,3600,3,104751,1,,104751,1430,52,,,132002,1457,27,1,31,31,2400,3600,3600,2,104751,3,1,1,1,45,2.0,1.0,1.0,6.0,1.0,0.0,46.0,2.0,2.0,227009.0,2605,4.0,,1.0,2.0,1.0,5.0,5.0,4.0,5.0,1.0,1.0,6.0,55.54071,1.0,5.0,,1,104751,6112014,1,3,1,4.0,1,3,1.0,1.0,1988.0,9.0,1.0,1.0,4.0,1.0,1.0,1988.0,12.0,1.0,1.0,4.0,1.0,1.0,1992.0,9.0,1.0,1.0,4.0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,61.04941,4.0,7.0,,5.0,104751.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,22.0,36.0,30.0,10.0,2.0,3.0,10.0,4.0,16.0,63.25062,2.0,1.0,5.0,,,,,,2.0,12.0,,,5.0,69382.0,,,,,,,1.0,,,3.0,2.0,3.0,,1.0,2.0,,,5.0,,1.0,2.0,13.0,,,3.0,4.0,2.0,12.0,2.0,31.0,2.0,2.0,,6.0,7.0
4,112004,42,2,7,1,0,21,103005,103001,0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,530,660,660,3,112004,33,,103005,1555,33,,,103001,1605,10,1,21,21,530,660,660,2,112004,3,1,2,2,38,1.0,1.0,1.0,5.0,1.0,0.0,36.0,4.0,2.0,103004.0,975,1.0,2.0,,5.0,1.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,51.71159,,5.0,,1,112004,22012015,3,3,1,4.0,1,2,1.0,1.0,2014.0,5.0,2.0,3.0,3.0,1.0,3.0,2011.0,8.0,2.0,3.0,3.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,43.7547,9.0,,,5.0,112004.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,9.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,22.0,18.0,3.0,16.0,3.0,25.0,25.0,31.0,33.0,95.13758,1.0,1.0,5.0,,,,,,2.0,2.0,12.0,,1.0,69382.0,,,,,,,7.0,,,2.0,3.0,3.0,,1.0,10.0,,,3.0,,2.0,1.0,13.0,,,7.0,8.0,8.0,11.0,4.0,,1.0,2.0,,6.0,7.0
4,218008,118,4,1,2,2,31,218006,218008,5,,,,,,,,,730,1095,1095,3,218008,1,,218008,815,24,,,218008,840,25,2,31,31,1460,2190,2190,2,218008,4,1,2,5,18,1.0,1.0,3.0,0.0,5.0,0.0,85.0,1.0,2.0,218008.0,505,4.0,,3.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,1.0,,120.3548,1.0,5.0,,1,218008,6032015,2,1,1,4.0,1,2,1.0,2.0,1999.0,4.0,1.0,1.0,2.0,1.0,2.0,1985.0,5.0,1.0,1.0,2.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,80.46747,9.0,,1.0,5.0,218008.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,6.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,9.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,22.0,,3.0,22.0,38.0,3.0,2.0,15.0,279.5176,2.0,1.0,3.0,5.0,,3.0,3.0,,,,,,4.0,69389.0,,,,,,,10.0,,,1.0,2.0,5.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,8.0,,,,8.0,13.0,,,1.0,3.0,,,
4,250001,65,4,2,1,0,82,249751,250001,0,,,,,,,,,2500,3010,3010,3,250001,11,,249751,1400,1,,,250001,1410,10,1,82,82,2500,3010,3010,2,250001,5,1,2,3,23,1.0,1.0,1.0,5.0,1.0,0.0,51.0,4.0,2.0,249751.0,2505,1.0,2.0,,4.0,2.0,5.0,5.0,1.0,1.0,5.0,1.0,1.0,39.56955,,5.0,,1,250001,7022015,4,2,1,4.0,1,2,3.0,4.0,2000.0,5.0,1.0,3.0,2.0,3.0,4.0,2001.0,5.0,1.0,3.0,2.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,55.21646,1.0,,,5.0,250001.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,24.0,10.0,4.0,5.0,17.0,11.0,12.0,181.666,1.0,2.0,4.0,,,,,,2.0,12.0,,,2.0,69096.0,2.0,16.0,,,,,1.0,4.0,5.0,1.0,3.0,1.0,,1.0,13.0,,,1.0,3.0,1.0,1.0,1.0,10.0,11.0,5.0,6.0,8.0,12.0,5.0,,2.0,2.0,,6.0,7.0
4,240003,144,2,3,1,0,21,240003,213002,2,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,10970,19760,19760,3,240003,1,,240003,900,11,,,102004,945,45,2,31,21,13710,23870,23870,2,240003,3,1,2,2,42,2.0,1.0,1.0,4.0,1.0,0.0,21.0,1.0,2.0,102004.0,11149,2.0,,1.0,1.0,1.0,5.0,5.0,1.0,4.0,1.0,1.0,1.0,64.99943,1.0,5.0,,1,240003,5032015,3,1,1,4.0,1,2,1.0,1.0,1998.0,4.0,1.0,1.0,2.0,3.0,1.0,2009.0,8.0,2.0,2.0,2.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0,1,55.12072,5.0,10.0,2.0,5.0,240003.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,7.0,6.0,5.0,13.0,27.0,38.0,4.0,11.0,15.0,321.454,2.0,1.0,5.0,,,,,,2.0,1.0,2.0,,4.0,69290.0,,,,,,,2.0,3.0,7.0,4.0,2.0,3.0,,1.0,4.0,12.0,13.0,1.0,6.0,3.0,1.0,4.0,10.0,11.0,3.0,4.0,13.0,14.0,2.0,31.0,2.0,1.0,2.0,,
4,301005,151,2,2,1,0,21,303003,301002,0,2.0,3.0,2.0,0.0,0.0,,0.0,1.0,3930,5530,5530,3,301005,62,1.0,303003,1725,64,1.0,,301002,1750,25,1,21,21,3930,5530,5530,2,301005,1,1,1,5,24,1.0,1.0,1.0,4.0,1.0,0.0,55.0,1.0,2.0,303551.0,4976,1.0,2.0,,2.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,6.0,84.38502,2.0,4.0,4.0,1,301005,13012015,2,3,2,,1,2,1.0,3.0,2012.0,11.0,1.0,2.0,1.0,1.0,3.0,1999.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,1,54.70356,,,,5.0,301005.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,10.0,11.0,12.0,10.0,23.0,,10.0,38.0,,206.3377,2.0,,3.0,1.0,2.0,1.0,1.0,3.0,,,,,3.0,38053.0,,,,,,,,,,1.0,2.0,5.0,,,,,,,,,,,,,,,14.0,,1.0,21.0,2.0,2.0,,7.0,
4,301005,151,2,3,1,0,21,301002,103003,0,2.0,4.0,3.0,0.0,2.0,2.0,0.0,2.0,38380,40420,40420,3,301005,62,1.0,301002,1750,53,,,103003,1830,40,1,21,21,38380,40420,40420,2,301005,1,1,1,5,24,1.0,1.0,1.0,4.0,1.0,0.0,55.0,1.0,2.0,303551.0,4976,1.0,2.0,,2.0,1.0,1.0,5.0,1.0,2.0,2.0,1.0,6.0,84.38502,2.0,4.0,4.0,1,301005,13012015,2,3,2,,1,2,1.0,3.0,2012.0,11.0,1.0,2.0,1.0,1.0,3.0,1999.0,5.0,1.0,2.0,1.0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,1,54.70356,,,,5.0,301005.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,10.0,11.0,12.0,10.0,23.0,,10.0,38.0,,206.3377,2.0,,3.0,1.0,2.0,1.0,1.0,3.0,,,,,3.0,38053.0,,,,,,,,,,1.0,2.0,5.0,,,,,,,,,,,,,,,14.0,,1.0,21.0,2.0,2.0,,7.0,
